2025-03-09 at 20:02:49 | INFO | Бот создан
2025-03-09 at 20:02:49 | INFO | Диспетчер создан
2025-03-09 at 20:03:06 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:09 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:14 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:15 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:16 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:17 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:17 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:18 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:19 | INFO | Бот ответил на команду /start
2025-03-09 at 20:03:19 | INFO | Бот ответил на команду /start
2025-03-09 at 20:04:07 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:45 | INFO | Бот создан
2025-03-09 at 20:23:45 | INFO | Диспетчер создан
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:46 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:56 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:58 | INFO | Бот ответил на команду /start
2025-03-09 at 20:23:59 | INFO | Бот ответил на команду /start
2025-03-09 at 20:24:00 | INFO | Бот ответил на команду /start
2025-03-09 at 20:24:45 | INFO | Бот ответил на команду /start
2025-03-09 at 20:25:09 | INFO | Бот создан
2025-03-09 at 20:25:09 | INFO | Диспетчер создан
2025-03-09 at 20:25:15 | INFO | Бот ответил на команду /start
2025-03-09 at 20:25:17 | INFO | Бот ответил на команду /start
2025-03-09 at 20:32:17 | INFO | Бот создан
2025-03-09 at 20:32:17 | INFO | Диспетчер создан
2025-03-09 at 20:32:22 | INFO | Бот ответил на команду /start
2025-03-09 at 20:33:11 | INFO | Бот создан
2025-03-09 at 20:33:11 | INFO | Диспетчер создан
2025-03-09 at 20:33:15 | INFO | Бот ответил на команду /start
2025-03-09 at 20:33:17 | INFO | Бот обьяснил, что делает
2025-03-09 at 20:39:03 | INFO | Бот создан
2025-03-09 at 20:39:03 | INFO | Диспетчер создан
2025-03-09 at 20:39:17 | INFO | Бот ответил на команду /start
2025-03-09 at 20:39:19 | INFO | Бот обьяснил, что делает
2025-03-09 at 20:39:22 | INFO | Бот вернул пользователю сообщение deddwdd
2025-03-09 at 20:39:25 | INFO | Бот вернул пользователю сообщение dwdddwdwd
2025-03-09 at 20:54:46 | INFO | Бот создан
2025-03-09 at 20:54:46 | INFO | Диспетчер создан
2025-03-09 at 20:54:47 | INFO | Бот ответил на команду /start
2025-03-09 at 20:54:47 | INFO | Бот ответил на команду /start
2025-03-09 at 20:54:47 | INFO | Бот ответил на команду /start
2025-03-09 at 20:54:47 | INFO | Бот ответил на команду /start
2025-03-09 at 20:54:59 | INFO | Бот ответил на команду /start
2025-03-09 at 20:55:00 | INFO | Бот обьяснил, что делает
2025-03-09 at 21:02:54 | INFO | Бот создан
2025-03-09 at 21:02:54 | INFO | Диспетчер создан
2025-03-09 at 21:03:07 | INFO | Бот ответил на команду /start
2025-03-09 at 21:03:09 | INFO | Бот обьяснил, что делает
